stage,state,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,inventory_expand_cost,replenmship_cost,Shortage_cost,acquire_cost
0,0,23133.0,23133.0,2783211166.377143,2313300000.0,23133000.0,22833000.0,0.0,2100000.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,23133.0,23133.0,417205189.01871765,0.0,0.0,0.0,0.0,0.0
1,1,23667.0,23667.0,444722619.3589808,53400000.0,534000.0,23067000.0,0.0,1500000.0
1,2,23133.0,23133.0,432763189.0187173,0.0,0.0,15558000.0,0.0,0.0
1,3,23133.0,23133.0,435703189.0187179,0.0,0.0,18498000.0,0.0,0.0
1,4,23133.0,23133.0,440218189.01871765,0.0,0.0,23013000.0,0.0,0.0
1,5,32042.999999999996,32043.0,4146783716.421879,890999999.9999999,8910000.0,32043000.0,3177400000.0,1373000.0
1,6,23133.0,23133.0,431681189.0187173,0.0,0.0,14476000.0,0.0,0.0
1,7,32042.999999999996,32042.999999999996,2153410716.4218817,890999999.9999999,8909999.999999998,32042999.999999996,1183600000.0000002,1800000.0
1,8,32043.0,32043.0,6021210716.421878,891000000.0,8909999.999999998,32043000.0,5051400000.0,1800000.0
2,0,26625.321428571428,26625.321428571428,209668344.9440989,0.0,-1.644398902759089e-11,432000.0,0.0,0.0
2,1,28800.390476190478,28536.809523809523,681218992.3296477,296053333.3333333,2696952.380952381,28536809.523809522,324260952.38095236,1689580.9523809524
2,2,29014.991452991453,29014.991452991453,3162567377.120925,277194017.0940171,2771940.1709401757,29014991.452991452,2823900854.700855,1800000.0
2,3,26352.322314049587,26352.322314049587,219771625.55529258,0.0,-1.973077348887551e-11,25000.0,0.0,0.0
2,4,26245.81081081081,26245.81081081081,240329327.14647794,0.0,0.0,17496000.0,0.0,0.0
2,5,28959.35106382979,28959.351063829887,2205620441.39157,281977659.5744681,2819776.595744792,28959351.063829888,1862164893.6170213,1800000.0
2,6,26385.439024390245,26385.439024390245,232343257.9496529,0.0,-1.1276255448810696e-11,14469000.0,0.0,0.0
2,7,29007.288659793816,29007.288659793823,773021883.8093523,280451546.3917526,2804515.463917536,29007288.659793824,431071134.02061856,1800000.0
2,8,29129.033333333333,28769.3,934106248.2451965,268008333.33333334,2320350.0,28769300.0,605496666.6666666,1591733.3333333333
3,0,30344.54464285714,27734.651785714286,131684175.0,0.0,-126369.6428571438,27709901.785714287,103087500.0,1013142.8571428572
3,1,22686.495238095238,21547.2,142081340.0,0.0,-3002.8571428627697,21547200.0,119045714.28571428,1491428.5714285714
3,2,28317.71794871795,28317.71794871795,914988128.2051282,0.0,48188.03418802055,28317717.948717948,884791452.9914529,1830769.2307692308
3,3,29201.19008264463,10223.702479338843,11152952.066115702,0.0,-945130.5785123975,10223702.479338843,0.0,1874380.1652892563
3,4,26556.972972972973,19.27927927927928,430581.08108108037,0.0,-1323833.3333333342,0.0,0.0,1754414.4144144144
3,5,35374.1914893617,35374.1914893617,1133160744.680851,0.0,114212.76595743328,35374191.4893617,1095336170.212766,2336170.212765957
3,6,25817.024390243903,13884.357723577235,14930893.49593496,0.0,-592488.6178861795,13884357.723577235,0.0,1639024.3902439023
3,7,30031.03092783505,30031.03092783505,1225497917.5257733,0.0,79257.73195876145,30031030.92783505,1193457731.958763,1929896.907216495
3,8,23256.966666666667,17649.166666666668,18871212.5,0.0,-277954.1666666671,17649166.666666668,0.0,1500000.0
