,,Staging Area Capacity,Inventory Level,obj,staging_area_expand_cost,,inventory_expand_cost,,replenmship_cost,,Shortage_cost,,acquire_cost,,holding_cost,
"(5,25)","(H,H)",387137,373849,30337553331,10359264,0.03%,4274692070,14.09%,18628900641,61.41%,3716444535,12.25%,345389556,1.14%,1289778047,4.25%
"(5,25)","(H,M)",386390,243452,13236864678,0,0.00%,-2930903581,-22.14%,9837456144,74.32%,369687354,2.79%,242119225,1.83%,839910931,6.35%
"(5,25)","(H,L)",386475,235585,5625190034,0,0.00%,-3410320374,-60.63%,2775452992,49.34%,1507243763,26.79%,209921535,3.73%,812769069,14.45%
"(5,25)","(L,H)",386393,352188,29599995127,0,0.00%,2786174400,9.41%,17976457397,60.73%,5185628737,17.52%,317083152,1.07%,1215049723,4.10%
"(5,25)","(L,M)",386371,228299,11600727106,0,0.00%,-3341476714,-28.80%,8369718696,72.15%,445992954,3.84%,284448073,2.45%,787632321,6.79%
"(5,25)","(L,L)",386385,209568,4443306393,0,0.00%,-4305792032,-96.91%,2011669483,45.27%,1248899678,28.11%,123623901,2.78%,723009681,16.27%
,,,,,,,,,,,,,,,,
"(10,25)","(H,H)",344546,335438,40822689721,42042424,0.10%,3559492639,8.72%,16733470476,40.99%,7429923193,18.20%,309674613,0.76%,1157261385,2.83%
"(10,25)","(H,M)",341580,279741,26730917769,0,0.00%,77962289,0.29%,10379566739,38.83%,2257241493,8.44%,201897283,0.76%,965107984,3.61%
"(10,25)","(H,L)",341505,209436,16586156234,0,0.00%,-3108664222,-18.74%,3370948992,20.32%,442983323,2.67%,83132383,0.50%,722553252,4.36%
"(10,25)","(L,H)",341620,335332,39978941436,0,0.00%,3550909883,8.88%,18139126724,45.37%,5227242447,13.07%,333712018,0.83%,1156894680,2.89%
"(10,25)","(L,M)",341506,260472,24279346878,0,0.00%,-827574444,-3.41%,9209364392,37.93%,1128128809,4.65%,180339246,0.74%,898628455,3.70%
"(10,25)","(L,L)",341484,198817,15076869765,0,0.00%,-3490442173,-23.15%,2218348630,14.71%,169280460,1.12%,27585638,0.18%,685916969,4.55%
