County,Percent
Abbeville County,12.9
Aiken County,9.6
Allendale County,19.3
Anderson County,10.2
Bamberg County,12.7
Barnwell County,21.4
Beaufort County,8
Berkeley County,8.5
Calhoun County,16.3
Charleston County,7.7
Cherokee County,12.7
Chester County,15.8
Chesterfield County,17.7
Clarendon County,14.2
Colleton County,14
Darlington County,17
Dillon County,25
Dorchester County,8.3
Edgefield County,12.1
Fairfield County,14.2
Florence County,12.8
Georgetown County,12
Greenville County,8
Greenwood County,12.3
Hampton County,16
Horry County,9.3
Jasper County,11.1
Kershaw County,12.2
Lancaster County,9
Laurens County,16
Lee County,16.1
Lexington County,9.1
Marion County,19.3
Marlboro County,22.2
McCormick County,9.7
Newberry County,11.3
Oconee County,10.2
Orangeburg County,18.8
Pickens County,8.8
Richland County,11.8
Saluda County,16.2
Spartanburg County,10.4
Sumter County,13.8
Union County,16.2
Williamsburg County,15
York County,6.4
